Source,Target,Weight
JodiSmi23673579,SenatorSinema,1
Joe72ShipBottom,gbrough10,1
JoeHuesman,gbrough10,1
Joeanthony_nyc,NewYorker,1
Joeanthony_nyc,Reuters,1
Joeanthony_nyc,ZerlinaShow,1
Joeanthony_nyc,thehill,1
Joeanthony_nyc,washingtonpost,1
John0230,gbrough10,1
JohnMagneTrane,gbrough10,1
JohnRic62054403,gbrough10,1
JohnSta04243440,BombshellDAILY,1
JohnSta04243440,MusicBombshell,1
JohnWayneNewto1,gbrough10,1
Johnbruno6B,gbrough10,1
Jon_Q_Vaxy,gbrough10,1
JonathanSimon14,Jasper33430720,1
JonathanSimon14,Karl_Mpls,1
JonathanSimon14,cjjohns1951,1
JonathanSimon14,jennycohn1,1
JonathanSimon14,lbcpundit,2
JonathanSimon14,sarahkendzior,1
JonesTerrible,gbrough10,1
JoseTejeda7,gbrough10,1
JosephSotopop,DaCribU,1
JosephSotopop,emily_lutman,1
JoshSmi99369130,gbrough10,1
JoshT1776,gbrough10,1
JoymcdMcdonald,ddanpereira,1
JrUnreal,Tam_Resist,1
Jrein96169001,gbrough10,1
Juanita46918668,Backedwithdata,1
Juanita46918668,DaddyONine,1
Juanita46918668,RobHNY,1
JustTheFacts68,Tam_Resist,3
KTrumpgirl,gbrough10,1
KW07038391,gbrough10,1
Kali2Zona,Hig44,1
Kalifornia4Cruz,RogerthornH,1
KarenE87781285,gbrough10,1
KarenKyia,gbrough10,1
KarenMy26623876,gbrough10,1
KarenShop,gbrough10,1
KarenWalker2020,DanCoxEsq,1
KathleenAFranck,BombshellDAILY,1
KayHarty1,Tam_Resist,1
Keds1250878727,LelainaPiercen,1
Keds1250878727,Tam_Resist,1
Keds1250878727,TheDailyShow,1
KeepItTrue2,donwinslow,1
Keith_Ziegler67,gbrough10,1
KellyHo02428773,gbrough10,1
KenGarrettZ,davidmweissman,1
KenGreenberg,OANN,1
KerrinHester,gbrough10,1
KerrinHester,rovcheck,1
KerryKreutz,gbrough10,1
